total_bill,tip,sex,smoker,day,time,size,customer_age
$38.73,$3.0,Male,Yes,Sat,Dinner,4,55
$14.83,$3.02,Female,No,Sun,Dinner,2,31
$23.1,$4.0,Male,Yes,Sun,Dinner,3,26
$23.1,$4.0,Male,Yes,Sun,Dinner,3,45
$16.82,$4.0,Male,Yes,Sun,Dinner,2,40
$23.1,$4.0,Male,Yes,Sun,Dinner,3,56
$12.54,$2.5,Male,No,Sun,Dinner,2,150
$25.21,$4.29,Male,Yes,Sat,Dinner,2,24
$25.56,$4.34,Male,No,Sun,Dinner,4,21
$18.78,$3.0,Female,No,Thur,Dinner,2,26
$18.29,$3.76,Male,Yes,Sat,Dinner,4,34
$19.08,$1.5,Male,No,Thur,Lunch,2,44
$13.28,$2.72,Male,No,Sat,Dinner,2,33
$12.54,$2.5,Male,No,Sun,Dinner,2,62
$18.26,$3.25,Female,No,Thur,Lunch,2,29
$17.92,$4.08,Male,No,Sat,Dinner,2,62
$26.86,$3.14,Female,Yes,Sat,Dinner,2,32
$20.76,$2.24,Male,No,Sun,Dinner,2,32
$16.29,$3.71,Male,No,Sun,Dinner,3,24
$20.27,$2.83,Female,No,Thur,Lunch,2,55
$24.71,$5.85,Male,No,Thur,Lunch,2,27
$48.27,$6.73,Male,No,Sat,Dinner,4,65
$18.43,$3.0,Male,No,Sun,Dinner,4,53
$22.67,$2.0,Male,Yes,Sat,Dinner,2,37
$150.39999999999998,$19.6,Male,No,Sun,Dinner,2,24
$21.16,$3.0,Male,No,Thur,Lunch,2,24
$34.81,$5.2,Female,No,Sun,Dinner,4,42
$22.82,$2.18,Male,No,Thur,Lunch,3,68
$32.68,$5.0,Male,Yes,Thur,Lunch,2,53
$22.49,$3.5,Male,No,Fri,Dinner,2,150
$14.0,$3.0,Male,No,Sat,Dinner,2,62
$30.46,$2.0,Male,Yes,Sun,Dinner,5,21
$13.0,$2.0,Female,Yes,Thur,Lunch,2,61
$15.81,$3.16,Male,Yes,Sat,Dinner,2,53
$26.88,$3.12,Male,No,Sun,Dinner,4,22
$16.82,$4.0,Male,Yes,Sun,Dinner,2,49
$17.78,$3.27,Male,No,Sat,Dinner,2,59
$16.47,$3.23,Female,Yes,Thur,Lunch,3,66
$19.44,$3.0,Male,Yes,Thur,Lunch,2,59
$13.81,$2.0,Male,No,Sun,Dinner,2,25
$18.04,$3.0,Male,No,Sun,Dinner,2,18
$22.42,$3.48,Female,Yes,Sat,Dinner,2,35
$20.27,$2.83,Female,No,Thur,Lunch,2,29
$10.34,$1.66,Male,No,Sun,Dinner,3,20
$12.26,$2.0,Female,No,Thur,Lunch,2,43
$9.94,$1.56,Male,No,Sun,Dinner,2,61
$15.36,$1.64,Male,Yes,Sat,Dinner,2,39
$23.68,$3.31,Male,No,Sun,Dinner,2,33
$9.94,$1.56,Male,No,Sun,Dinner,2,24
$12.16,$2.2,Male,Yes,Fri,Lunch,2,27
$15.69,$1.5,Male,Yes,Sun,Dinner,2,19
$8.35,$1.5,Female,No,Thur,Lunch,2,55
$11.59,$1.5,Male,Yes,Sat,Dinner,2,150
$9.68,$1.32,Male,No,Sun,Dinner,2,39
$12.66,$2.5,Male,No,Sun,Dinner,2,31
$12.74,$2.01,Female,Yes,Thur,Lunch,2,31
$23.1,$4.0,Male,Yes,Sun,Dinner,3,29
$20.45,$3.0,Male,No,Sat,Dinner,4,69
$18.43,$3.0,Male,No,Sun,Dinner,4,60
$22.75,$3.25,Female,No,Fri,Dinner,2,41
$32.4,$6.0,Male,No,Sun,Dinner,4,41
$14.83,$3.02,Female,No,Sun,Dinner,2,36
$13.51,$2.0,Male,Yes,Thur,Lunch,2,60
$16.47,$3.23,Female,Yes,Thur,Lunch,3,61
$28.17,$6.5,Female,Yes,Sat,Dinner,3,22
$23.1,$4.0,Male,Yes,Sun,Dinner,3,53
$31.27,$5.0,Male,No,Sat,Dinner,3,42
$48.33,$9.0,Male,No,Sat,Dinner,4,34
$387.29999999999995,$30.0,Male,Yes,Sat,Dinner,4,32
$12.6,$1.0,Male,Yes,Sat,Dinner,2,53
$16.66,$3.4,Male,No,Thur,Lunch,2,47
$14.0,$3.0,Male,No,Sat,Dinner,2,46
$34.81,$5.2,Female,No,Sun,Dinner,4,68
$39.42,$7.58,Male,No,Sat,Dinner,4,63
$24.55,$2.0,Male,No,Sun,Dinner,4,47
$28.15,$3.0,Male,Yes,Sat,Dinner,5,59
$30.46,$2.0,Male,Yes,Sun,Dinner,5,25
$15.95,$2.0,Male,No,Thur,Lunch,2,64
$12.6,$1.0,Male,Yes,Sat,Dinner,2,32
$16.04,$2.24,Male,No,Sat,Dinner,3,63
$48.17,$5.0,Male,No,Sun,Dinner,6,19
$14.83,$3.02,Female,No,Sun,Dinner,2,58
$30.4,$5.6,Male,No,Sun,Dinner,4,45
$17.59,$2.64,Male,No,Sat,Dinner,3,19
$24.71,$5.85,Male,No,Thur,Lunch,2,28
$12.02,$1.97,Male,No,Sat,Dinner,2,54
$15.04,$1.96,Male,No,Sun,Dinner,2,67
$18.28,$4.0,Male,No,Thur,Lunch,2,21
$11.38,$2.0,Female,No,Thur,Lunch,2,18
$10.07,$1.25,Male,No,Sat,Dinner,2,37
$8.51,$1.25,Female,No,Thur,Lunch,2,39
$12.9,$1.1,Female,Yes,Sat,Dinner,2,24
$11.02,$1.98,Male,Yes,Sat,Dinner,2,38
$16.0,$2.0,Male,Yes,Thur,Lunch,2,22
$17.82,$1.75,Male,No,Sat,Dinner,2,19
$19.44,$3.0,Male,Yes,Thur,Lunch,2,44
$8.51,$1.25,Female,No,Thur,Lunch,2,51
$16.21,$2.0,Female,No,Sun,Dinner,3,31
$16.21,$2.0,Female,No,Sun,Dinner,3,55
$15.06,$3.0,Female,No,Sat,Dinner,2,55
$14.26,$2.5,Male,No,Thur,Lunch,2,63
$24.59,$3.61,Female,No,Sun,Dinner,4,33
$10.77,$1.47,Male,No,Sat,Dinner,2,64
$24.01,$2.0,Male,Yes,Sat,Dinner,4,47
$16.04,$2.24,Male,No,Sat,Dinner,3,65
$12.69,$2.0,Male,No,Sat,Dinner,2,55
$18.26,$3.25,Female,No,Thur,Lunch,2,45
$18.71,$4.0,Male,Yes,Thur,Lunch,3,33
$17.07,$3.0,Female,No,Sat,Dinner,3,37
$35.26,$5.0,Female,No,Sun,Dinner,4,18
$12.66,$2.5,Male,No,Sun,Dinner,2,54
$15.06,$3.0,Female,No,Sat,Dinner,2,45
$32.4,$6.0,Male,No,Sun,Dinner,4,48
$14.07,$2.5,Male,No,Sun,Dinner,2,29
$13.81,$2.0,Male,Yes,Sat,Dinner,2,19
$12.9,$1.1,Female,Yes,Sat,Dinner,2,62
$16.31,$2.0,Male,No,Sat,Dinner,3,68
$21.01,$3.0,Male,Yes,Fri,Dinner,2,51
$15.81,$3.16,Male,Yes,Sat,Dinner,2,65
$22.42,$3.48,Female,Yes,Sat,Dinner,2,150
$13.27,$2.5,Female,Yes,Sat,Dinner,2,25
$7.74,$1.44,Male,Yes,Sat,Dinner,2,58
$17.78,$3.27,Male,No,Sat,Dinner,2,62
$28.44,$2.56,Male,Yes,Thur,Lunch,2,27
$10.09,$2.0,Female,Yes,Fri,Lunch,2,150
$11.35,$2.5,Female,Yes,Fri,Dinner,2,56
$16.82,$4.0,Male,Yes,Sun,Dinner,2,19
$16.47,$3.23,Female,Yes,Thur,Lunch,3,150
$19.08,$1.5,Male,No,Thur,Lunch,2,37
$16.99,$1.01,Female,No,Sun,Dinner,2,24
$24.59,$3.61,Female,No,Sun,Dinner,4,19
$11.59,$1.5,Male,Yes,Sat,Dinner,2,45
$34.3,$6.7,Male,No,Thur,Lunch,6,30
$44.3,$2.5,Female,Yes,Sat,Dinner,3,26
$13.37,$2.0,Male,No,Sat,Dinner,2,54
$10.33,$2.0,Female,No,Thur,Lunch,2,40
$26.59,$3.41,Male,Yes,Sat,Dinner,3,150
$14.83,$3.02,Female,No,Sun,Dinner,2,41
$21.16,$3.0,Male,No,Thur,Lunch,2,42
$17.46,$2.54,Male,No,Sun,Dinner,2,18
$15.95,$2.0,Male,No,Thur,Lunch,2,50
$20.53,$4.0,Male,Yes,Thur,Lunch,4,68
$9.6,$4.0,Female,Yes,Sun,Dinner,2,27
$11.02,$1.98,Male,Yes,Sat,Dinner,2,67
$40.17,$4.73,Male,Yes,Fri,Dinner,4,29
$24.01,$2.0,Male,Yes,Sat,Dinner,4,24
$27.18,$2.0,Female,Yes,Sat,Dinner,2,36
$10.29,$2.6,Female,No,Sun,Dinner,2,25
$40.17,$4.73,Male,Yes,Fri,Dinner,4,49
$20.27,$2.83,Female,No,Thur,Lunch,2,57
$13.42,$3.48,Female,Yes,Fri,Lunch,2,55
$13.28,$2.72,Male,No,Sat,Dinner,2,45
$14.07,$2.5,Male,No,Sun,Dinner,2,58
$24.01,$2.0,Male,Yes,Sat,Dinner,4,150
$12.6,$1.0,Male,Yes,Sat,Dinner,2,53
$41.19,$5.0,Male,No,Thur,Lunch,5,48
$50.81,$10.0,Male,Yes,Sat,Dinner,3,50
$21.7,$4.3,Male,No,Sat,Dinner,2,150
$24.06,$3.6,Male,No,Sat,Dinner,3,69
$15.42,$1.57,Male,No,Sun,Dinner,2,35
$16.49,$2.0,Male,No,Sun,Dinner,4,33
$12.02,$1.97,Male,No,Sat,Dinner,2,55
$20.9,$3.5,Female,Yes,Sun,Dinner,3,40
$17.82,$1.75,Male,No,Sat,Dinner,2,67
$34.83,$5.17,Female,No,Thur,Lunch,4,62
$12.69,$2.0,Male,No,Sat,Dinner,2,20
$20.08,$3.15,Male,No,Sat,Dinner,3,24
$10.63,$2.0,Female,Yes,Sat,Dinner,2,39
$30.4,$5.6,Male,No,Sun,Dinner,4,56
$13.81,$2.0,Male,Yes,Sat,Dinner,2,53
$40.55,$3.0,Male,Yes,Sun,Dinner,2,61
$12.26,$2.0,Female,No,Thur,Lunch,2,61
$12.69,$2.0,Male,No,Sat,Dinner,2,52
$12.69,$2.0,Male,No,Sat,Dinner,2,26
$25.21,$4.29,Male,Yes,Sat,Dinner,2,20
$9.68,$1.32,Male,No,Sun,Dinner,2,54
$32.68,$5.0,Male,Yes,Thur,Lunch,2,59
$19.65,$3.0,Female,No,Sat,Dinner,2,68
$23.1,$4.0,Male,Yes,Sun,Dinner,3,56
$14.73,$2.2,Female,No,Sat,Dinner,2,60
$14.52,$2.0,Female,No,Thur,Lunch,2,58
$22.49,$3.5,Male,No,Fri,Dinner,2,42
$28.15,$3.0,Male,Yes,Sat,Dinner,5,23
$24.01,$2.0,Male,Yes,Sat,Dinner,4,53
$231.0,$40.0,Male,Yes,Sun,Dinner,3,60
$13.42,$1.58,Male,Yes,Fri,Lunch,2,36
$11.38,$2.0,Female,No,Thur,Lunch,2,29
$11.69,$2.31,Male,No,Thur,Lunch,2,66
$13.37,$2.0,Male,No,Sat,Dinner,2,60
$23.1,$4.0,Male,Yes,Sun,Dinner,3,29
$11.69,$2.31,Male,No,Thur,Lunch,2,36
$17.31,$3.5,Female,No,Sun,Dinner,2,60
$20.53,$4.0,Male,Yes,Thur,Lunch,4,65
$116.1,$33.9,Male,No,Sat,Dinner,2,21
$21.01,$3.5,Male,No,Sun,Dinner,3,32
$44.3,$2.5,Female,Yes,Sat,Dinner,3,44
$43.11,$5.0,Female,Yes,Thur,Lunch,4,63
$13.51,$2.0,Male,Yes,Thur,Lunch,2,29
$19.77,$2.0,Male,No,Sun,Dinner,4,35
$10.33,$2.0,Female,No,Thur,Lunch,2,63
$13.81,$2.0,Male,Yes,Sat,Dinner,2,26
$17.51,$3.0,Female,Yes,Sun,Dinner,2,46
$13.42,$1.58,Male,Yes,Fri,Lunch,2,64
$12.54,$2.5,Male,No,Sun,Dinner,2,33
$10.77,$1.47,Male,No,Sat,Dinner,2,51
$15.81,$3.16,Male,Yes,Sat,Dinner,2,22
$13.13,$2.0,Male,No,Sun,Dinner,2,44
$26.59,$3.41,Male,Yes,Sat,Dinner,3,49
$11.24,$1.76,Male,Yes,Sat,Dinner,2,62
$10.65,$1.5,Female,No,Thur,Lunch,2,65
$16.49,$2.0,Male,No,Sun,Dinner,4,47
$40.17,$4.73,Male,Yes,Fri,Dinner,4,54
$12.9,$1.1,Female,Yes,Sat,Dinner,2,19
$11.61,$3.39,Male,No,Sat,Dinner,2,19
$34.63,$3.55,Male,Yes,Sun,Dinner,2,32
$38.07,$4.0,Male,No,Sun,Dinner,3,31
$13.81,$2.0,Male,Yes,Sat,Dinner,2,58
$27.18,$2.0,Female,Yes,Sat,Dinner,2,69
$20.69,$5.0,Male,No,Sun,Dinner,5,49
$10.29,$2.6,Female,No,Sun,Dinner,2,22
$35.26,$5.0,Female,No,Sun,Dinner,4,22
$18.69,$2.31,Male,No,Sat,Dinner,3,58
$22.82,$2.18,Male,No,Thur,Lunch,3,66
$19.08,$1.5,Male,No,Thur,Lunch,2,63
$38.07,$4.0,Male,No,Sun,Dinner,3,50
$11.35,$2.5,Female,Yes,Fri,Dinner,2,29
$38.07,$4.0,Male,No,Sun,Dinner,3,58
$23.17,$6.5,Male,Yes,Sun,Dinner,4,52
$19.44,$3.0,Male,Yes,Thur,Lunch,2,62
$20.9,$3.5,Female,Yes,Sun,Dinner,3,50
$38.07,$4.0,Male,No,Sun,Dinner,3,54
$10.34,$1.66,Male,No,Sun,Dinner,3,35
$22.82,$2.18,Male,No,Thur,Lunch,3,150
$30.14,$3.09,Female,Yes,Sat,Dinner,4,46
$9.94,$1.56,Male,No,Sun,Dinner,2,21
$13.03,$2.0,Male,No,Thur,Lunch,2,20
$13.28,$2.72,Male,No,Sat,Dinner,2,32
$15.98,$3.0,Female,No,Fri,Lunch,3,59
$13.42,$1.58,Male,Yes,Fri,Lunch,2,25
$11.38,$2.0,Female,No,Thur,Lunch,2,27
$18.64,$1.36,Female,No,Thur,Lunch,3,150
$29.8,$4.2,Female,No,Thur,Lunch,6,61
$22.82,$2.18,Male,No,Thur,Lunch,3,25
$34.81,$5.2,Female,No,Sun,Dinner,4,32
$15.81,$3.16,Male,Yes,Sat,Dinner,2,60
$11.59,$1.5,Male,Yes,Sat,Dinner,2,21
$16.49,$2.0,Male,No,Sun,Dinner,4,38
$43.11,$5.0,Female,Yes,Thur,Lunch,4,55
$16.49,$2.0,Male,No,Sun,Dinner,4,47
$3.07,$1.0,Female,Yes,Sat,Dinner,1,21
$45.35,$3.5,Male,Yes,Sun,Dinner,3,150
$13.0,$2.0,Female,Yes,Thur,Lunch,2,69
$23.17,$6.5,Male,Yes,Sun,Dinner,4,38
$14.26,$2.5,Male,No,Thur,Lunch,2,47
$16.43,$2.3,Female,No,Thur,Lunch,2,57
$16.93,$3.07,Female,No,Sat,Dinner,3,150
$39.42,$7.58,Male,No,Sat,Dinner,4,150
$20.23,$2.01,Male,No,Sat,Dinner,2,51
$17.31,$3.5,Female,No,Sun,Dinner,2,35
$12.03,$1.5,Male,Yes,Fri,Dinner,2,43
$43.11,$5.0,Female,Yes,Thur,Lunch,4,59
$13.27,$2.5,Female,Yes,Sat,Dinner,2,41
$16.0,$2.0,Male,Yes,Thur,Lunch,2,24
$290.3,$59.2,Male,No,Sat,Dinner,3,18
$27.05,$5.0,Female,No,Thur,Lunch,6,20
$27.28,$4.0,Male,Yes,Fri,Dinner,2,32
$18.71,$4.0,Male,Yes,Thur,Lunch,3,48
$15.95,$2.0,Male,No,Thur,Lunch,2,50
$20.9,$3.5,Female,Yes,Sun,Dinner,3,67
$15.01,$2.09,Male,Yes,Sat,Dinner,2,35
$38.73,$3.0,Male,Yes,Sat,Dinner,4,55
$5.75,$1.0,Female,Yes,Fri,Dinner,2,35
$21.01,$3.5,Male,No,Sun,Dinner,3,37
$11.87,$1.63,Female,No,Thur,Lunch,2,51
$20.9,$3.5,Female,Yes,Sun,Dinner,3,51
$13.81,$2.0,Male,No,Sun,Dinner,2,57
$18.64,$1.36,Female,No,Thur,Lunch,3,44
$21.16,$3.0,Male,No,Thur,Lunch,2,26
$16.58,$4.0,Male,Yes,Thur,Lunch,2,33
$18.64,$1.36,Female,No,Thur,Lunch,3,55
$11.87,$1.63,Female,No,Thur,Lunch,2,60
$40.17,$4.73,Male,Yes,Fri,Dinner,4,54
$13.0,$2.0,Female,Yes,Thur,Lunch,2,52
$10.29,$2.6,Female,No,Sun,Dinner,2,46
$11.61,$3.39,Male,No,Sat,Dinner,2,63
$21.5,$3.5,Male,No,Sun,Dinner,4,22
$31.71,$4.5,Male,No,Sun,Dinner,4,53
$14.52,$2.0,Female,No,Thur,Lunch,2,18
$18.69,$2.31,Male,No,Sat,Dinner,3,54
$16.66,$3.4,Male,No,Thur,Lunch,2,45
$22.42,$3.48,Female,Yes,Sat,Dinner,2,68
$11.38,$2.0,Female,No,Thur,Lunch,2,49
$10.27,$1.71,Male,No,Sun,Dinner,2,40
$30.14,$3.09,Female,Yes,Sat,Dinner,4,35
$40.55,$3.0,Male,Yes,Sun,Dinner,2,53
$28.15,$3.0,Male,Yes,Sat,Dinner,5,47
$14.48,$2.0,Male,Yes,Sun,Dinner,2,46
$14.07,$2.5,Male,No,Sun,Dinner,2,26
$13.39,$2.61,Female,No,Sun,Dinner,2,35
$13.42,$3.48,Female,Yes,Fri,Lunch,2,68
$17.46,$2.54,Male,No,Sun,Dinner,2,32
$21.01,$3.0,Male,Yes,Fri,Dinner,2,68
$8.77,$2.0,Male,No,Sun,Dinner,2,63
$27.05,$5.0,Female,No,Thur,Lunch,6,30
$21.16,$3.0,Male,No,Thur,Lunch,2,55
$7.25,$1.0,Female,No,Sat,Dinner,1,61
$18.78,$3.0,Female,No,Thur,Dinner,2,38
$48.27,$6.73,Male,No,Sat,Dinner,4,64
$38.07,$4.0,Male,No,Sun,Dinner,3,57
$10.34,$1.66,Male,No,Sun,Dinner,3,36
$11.38,$2.0,Female,No,Thur,Lunch,2,30
$32.4,$6.0,Male,No,Sun,Dinner,4,49
$13.16,$2.75,Female,No,Thur,Lunch,2,27
$10.34,$2.0,Male,Yes,Thur,Lunch,2,20
$16.31,$2.0,Male,No,Sat,Dinner,3,64
$16.49,$2.0,Male,No,Sun,Dinner,4,150
$15.04,$1.96,Male,No,Sun,Dinner,2,25
$11.61,$3.39,Male,No,Sat,Dinner,2,57
$21.01,$3.0,Male,Yes,Fri,Dinner,2,33
$18.64,$1.36,Female,No,Thur,Lunch,3,150
$32.4,$6.0,Male,No,Sun,Dinner,4,24
$38.73,$3.0,Male,Yes,Sat,Dinner,4,65
$19.08,$1.5,Male,No,Thur,Lunch,2,33
$11.87,$1.63,Female,No,Thur,Lunch,2,41
$13.13,$2.0,Male,No,Sun,Dinner,2,27
$9.94,$1.56,Male,No,Sun,Dinner,2,49
$24.08,$2.92,Female,No,Thur,Lunch,4,41
$21.5,$3.5,Male,No,Sun,Dinner,4,21
$13.13,$2.0,Male,No,Sun,Dinner,2,45
$17.31,$3.5,Female,No,Sun,Dinner,2,34
$14.73,$2.2,Female,No,Sat,Dinner,2,24
$38.07,$4.0,Male,No,Sun,Dinner,3,40
$13.51,$2.0,Male,Yes,Thur,Lunch,2,48
$13.81,$2.0,Male,No,Sun,Dinner,2,18
$24.52,$3.48,Male,No,Sun,Dinner,3,54
$22.42,$3.48,Female,Yes,Sat,Dinner,2,20
$32.68,$5.0,Male,Yes,Thur,Lunch,2,65
$10.09,$2.0,Female,Yes,Fri,Lunch,2,38
$7.25,$1.0,Female,No,Sat,Dinner,1,40
$28.15,$3.0,Male,Yes,Sat,Dinner,5,39
$21.01,$3.0,Male,Yes,Fri,Dinner,2,33
$17.26,$2.74,Male,No,Sun,Dinner,3,67
$5.75,$1.0,Female,Yes,Fri,Dinner,2,49
$8.35,$1.5,Female,No,Thur,Lunch,2,69
$14.52,$2.0,Female,No,Thur,Lunch,2,28
$14.31,$4.0,Female,Yes,Sat,Dinner,2,18
$16.66,$3.4,Male,No,Thur,Lunch,2,37
$15.48,$2.02,Male,Yes,Thur,Lunch,2,26
$9.94,$1.56,Male,No,Sun,Dinner,2,67
$16.21,$2.0,Female,No,Sun,Dinner,3,31
$38.73,$3.0,Male,Yes,Sat,Dinner,4,32
$18.15,$3.5,Female,Yes,Sun,Dinner,3,21
$10.59,$1.61,Female,Yes,Sat,Dinner,2,60
$20.45,$3.0,Male,No,Sat,Dinner,4,150
$21.5,$3.5,Male,No,Sun,Dinner,4,65
$3.07,$1.0,Female,Yes,Sat,Dinner,1,30
$15.06,$3.0,Female,No,Sat,Dinner,2,58
$34.3,$6.7,Male,No,Thur,Lunch,6,30
$17.92,$4.08,Male,No,Sat,Dinner,2,27
$32.4,$6.0,Male,No,Sun,Dinner,4,26
$11.87,$1.63,Female,No,Thur,Lunch,2,28
$14.52,$2.0,Female,No,Thur,Lunch,2,30
$8.51,$1.25,Female,No,Thur,Lunch,2,150
$18.26,$3.25,Female,No,Thur,Lunch,2,29
$16.58,$4.0,Male,Yes,Thur,Lunch,2,69
$16.43,$2.3,Female,No,Thur,Lunch,2,52
$14.52,$2.0,Female,No,Thur,Lunch,2,40
$15.06,$3.0,Female,No,Sat,Dinner,2,63
$32.9,$3.11,Male,Yes,Sun,Dinner,2,31
$16.4,$2.5,Female,Yes,Thur,Lunch,2,59
$20.9,$3.5,Female,Yes,Sun,Dinner,3,33
$25.71,$4.0,Female,No,Sun,Dinner,3,21
$13.27,$2.5,Female,Yes,Sat,Dinner,2,69
$12.43,$1.8,Female,No,Thur,Lunch,2,51
$20.29,$2.75,Female,No,Sat,Dinner,2,57
$32.83,$1.17,Male,Yes,Sat,Dinner,2,23
$25.0,$3.75,Female,No,Sun,Dinner,4,51
$16.93,$3.07,Female,No,Sat,Dinner,3,50
$22.12,$2.88,Female,Yes,Sat,Dinner,2,67
$18.24,$3.76,Male,No,Sat,Dinner,2,19
$12.54,$2.5,Male,No,Sun,Dinner,2,150
$23.33,$5.65,Male,Yes,Sun,Dinner,2,150
$26.88,$3.12,Male,No,Sun,Dinner,4,45
$13.37,$2.0,Male,No,Sat,Dinner,2,55
$13.37,$2.0,Male,No,Sat,Dinner,2,36
$16.27,$2.5,Female,Yes,Fri,Lunch,2,67
$17.92,$4.08,Male,No,Sat,Dinner,2,67
$19.65,$3.0,Female,No,Sat,Dinner,2,47
$27.28,$4.0,Male,Yes,Fri,Dinner,2,24
$12.69,$2.0,Male,No,Sat,Dinner,2,40
$14.0,$3.0,Male,No,Sat,Dinner,2,50
$19.81,$4.19,Female,Yes,Thur,Lunch,2,44
$13.42,$1.58,Male,Yes,Fri,Lunch,2,30
$10.34,$2.0,Male,Yes,Thur,Lunch,2,27
$20.29,$3.21,Male,Yes,Sat,Dinner,2,41
$32.4,$6.0,Male,No,Sun,Dinner,4,31
$18.64,$1.36,Female,No,Thur,Lunch,3,67
$23.68,$3.31,Male,No,Sun,Dinner,2,33
$17.78,$3.27,Male,No,Sat,Dinner,2,26
$19.81,$4.19,Female,Yes,Thur,Lunch,2,56
$28.55,$2.05,Male,No,Sun,Dinner,3,62
$10.33,$1.67,Female,No,Sun,Dinner,3,41
$15.81,$3.16,Male,Yes,Sat,Dinner,2,62
$30.14,$3.09,Female,Yes,Sat,Dinner,4,25
$25.0,$3.75,Female,No,Sun,Dinner,4,33
$12.16,$2.2,Male,Yes,Fri,Lunch,2,68
$18.29,$3.0,Male,No,Sun,Dinner,2,67
$29.93,$5.07,Male,No,Sun,Dinner,4,25
$25.29,$4.71,Male,No,Sun,Dinner,4,21
$21.01,$3.0,Male,Yes,Fri,Dinner,2,23
$15.95,$2.0,Male,No,Thur,Lunch,2,48
$11.61,$3.39,Male,No,Sat,Dinner,2,18
$16.31,$2.0,Male,No,Sat,Dinner,3,56
$39.42,$7.58,Male,No,Sat,Dinner,4,23
$5.75,$1.0,Female,Yes,Fri,Dinner,2,29
$27.18,$2.0,Female,Yes,Sat,Dinner,2,50
$18.29,$3.0,Male,No,Sun,Dinner,2,19
$34.65,$3.68,Male,Yes,Sun,Dinner,4,48
$22.75,$3.25,Female,No,Fri,Dinner,2,41
$21.01,$3.0,Male,Yes,Fri,Dinner,2,56
$30.46,$2.0,Male,Yes,Sun,Dinner,5,150
$13.42,$1.58,Male,Yes,Fri,Lunch,2,59
$17.31,$3.5,Female,No,Sun,Dinner,2,29
$15.69,$1.5,Male,Yes,Sun,Dinner,2,49
$48.33,$9.0,Male,No,Sat,Dinner,4,19
$16.49,$2.0,Male,No,Sun,Dinner,4,34
$28.17,$6.5,Female,Yes,Sat,Dinner,3,55
$21.5,$3.5,Male,No,Sun,Dinner,4,53
$16.45,$2.47,Female,No,Sat,Dinner,2,54
$14.52,$2.0,Female,No,Thur,Lunch,2,20
$16.29,$3.71,Male,No,Sun,Dinner,3,32
$19.82,$3.18,Male,No,Sat,Dinner,2,19
$10.77,$1.47,Male,No,Sat,Dinner,2,31
$8.58,$1.92,Male,Yes,Fri,Lunch,1,42
$9.94,$1.56,Male,No,Sun,Dinner,2,54
$26.41,$1.5,Female,No,Sat,Dinner,2,50
$16.45,$2.47,Female,No,Sat,Dinner,2,39
$22.42,$3.48,Female,Yes,Sat,Dinner,2,23
$31.85,$3.18,Male,Yes,Sun,Dinner,2,33
$39.42,$7.58,Male,No,Sat,Dinner,4,47
$23.95,$2.55,Male,No,Sun,Dinner,2,30
